Sequence_ID	Extract_ID	Sample_ID	Seq_ID	Library_Tube	Library_Tube_ID	Library_Barcode	F_Primer	R_Primer	Run_ID	Final_Lib_Conc_ng_uL	Vol_Added_Pool_uL
JOA-50-MGE-S288	DNA1-JOA-50-MGE	JOA-50-MGE	CM014	12	S288	barcode12	27F	1492R	MIN_16_2025-4-2	5.6	0.7
KUB-52-MGE-S289	DNA1-KUB-52-MGE	KUB-52-MGE	CM014	13	S289	barcode13	27F	1492R	MIN_16_2025-4-2	4.44	0.9
PAD-7-MGE-S290	DNA1-PAD-7-MGE	PAD-7-MGE	CM014	14	S290	barcode14	27F	1492R	MIN_16_2025-4-2	2.23	1.8
GRO-42-MGE-S291	DNA1-GRO-42-MGE	GRO-42-MGE	CM014	15	S291	barcode15	27F	1492R	MIN_16_2025-4-2	4.95	0.8
JOA-46-MGE-S292	DNA1-JOA-46-MGE	JOA-46-MGE	CM014	16	S292	barcode16	27F	1492R	MIN_16_2025-4-2	5.4	0.7
HER-48-MGE-S293	DNA1-HER-48-MGE	HER-48-MGE	CM014	17	S293	barcode17	27F	1492R	MIN_16_2025-4-2	3.02	1.3
IVY-49-MGE-S294	DNA1-IVY-49-MGE	IVY-49-MGE	CM014	18	S294	barcode18	27F	1492R	MIN_16_2025-4-2	2.63	1.5
KOR-50-MGE-S295	DNA1-KOR-50-MGE	KOR-50-MGE	CM014	19	S295	barcode19	27F	1492R	MIN_16_2025-4-2	2.41	1.7
FRA-50-MGE-S296	DNA1-FRA-50-MGE	FRA-50-MGE	CM014	20	S296	barcode20	27F	1492R	MIN_16_2025-4-2	3.11	1.3
MAR-52-MGE-S297	DNA1-MAR-52-MGE	MAR-52-MGE	CM014	21	S297	barcode21	27F	1492R	MIN_16_2025-4-2	2.8	1.4
HAM-48-MGE-S298	DNA1-HAM-48-MGE	HAM-48-MGE	CM014	22	S298	barcode22	27F	1492R	MIN_16_2025-4-2	2.73	1.5
GRO-52-MGE-S299	DNA1-GRO-52-MGE	GRO-52-MGE	CM014	23	S299	barcode23	27F	1492R	MIN_16_2025-4-2	8.8	0.5
CM-NTC-014	NTC	NTC14	CM014	24	CTRL	barcode24	27F	1492R	MIN_16_2025-4-2	0.611	6.6
