Sequence_ID	Pipeline	Library_Tube	Library_Barcode	Extract_ID	Sample_ID	Final_Lib_Conc_(ng/uL)	Vol_Added_Pool_(uL)	Seq_ID	Run_ID	Library_Tube_ID	F_Primer	R_Primer
KOR-23-MGE-S260	16S_Rap	7	barcode07	DNA1-KOR-23-MGE	KOR-23-MGE	3.8	1.1	CM013	MIN_16_2025-4-1	S260	27F	1492R
OPH-24-MGE-S261	16S_Rap	8	barcode08	DNA1-OPH-24-MGE	OPH-24-MGE	2.81	1.4	CM013	MIN_16_2025-4-1	S261	27F	1492R
FRA-24-MGE-S262	16S_Rap	9	barcode09	DNA1-FRA-24-MGE	FRA-24-MGE	4.89	0.8	CM013	MIN_16_2025-4-1	S262	27F	1492R
KUB-25-MGE-S263	16S_Rap	10	barcode10	DNA1-KUB-25-MGE	KUB-25-MGE	4.58	0.9	CM013	MIN_16_2025-4-1	S263	27F	1492R
HEN-25-MGE-S264	16S_Rap	11	barcode11	DNA1-HEN-25-MGE	HEN-25-MGE	5.2	0.8	CM013	MIN_16_2025-4-1	S264	27F	1492R
GIN-44-MGE-S265	16S_Rap	12	barcode12	DNA1-GIN-44-MGE	GIN-44-MGE	7.7	0.5	CM013	MIN_16_2025-4-1	S265	27F	1492R
KOR-45-MGE-S266	16S_Rap	13	barcode13	DNA1-KOR-45-MGE	KOR-45-MGE	4.24	0.9	CM013	MIN_16_2025-4-1	S266	27F	1492R
MAR-47-MGE-S267	16S_Rap	14	barcode14	DNA1-MAR-47-MGE	MAR-47-MGE	5.8	0.7	CM013	MIN_16_2025-4-1	S267	27F	1492R
JOA-48-MGE-S268	16S_Rap	15	barcode15	DNA1-JOA-48-MGE	JOA-48-MGE	5.2	0.8	CM013	MIN_16_2025-4-1	S268	27F	1492R
IRI-49-MGE-S269	16S_Rap	16	barcode16	DNA1-IRI-49-MGE	IRI-49-MGE	1.88	2.1	CM013	MIN_16_2025-4-1	S269	27F	1492R
HEN-49-MGE-S270	16S_Rap	17	barcode17	DNA1-HEN-49-MGE	HEN-49-MGE	6.4	0.6	CM013	MIN_16_2025-4-1	S270	27F	1492R
WOL-50-MGE-S271	16S_Rap	18	barcode18	DNA1-WOL-50-MGE	WOL-50-MGE	6.8	0.6	CM013	MIN_16_2025-4-1	S271	27F	1492R
IVY-50-MGE-S272	16S_Rap	19	barcode19	DNA1-IVY-50-MGE	IVY-50-MGE	8.6	0.5	CM013	MIN_16_2025-4-1	S272	27F	1492R
LAM-51-MGE-S273	16S_Rap	20	barcode20	DNA1-LAM-51-MGE	LAM-51-MGE	1.87	2.1	CM013	MIN_16_2025-4-1	S273	27F	1492R
FRA-51-MGE-S274	16S_Rap	21	barcode21	DNA1-FRA-51-MGE	FRA-51-MGE	4.08	1	CM013	MIN_16_2025-4-1	S274	27F	1492R
GOO-52-MGE-S275	16S_Rap	22	barcode22	DNA1-GOO-52-MGE	GOO-52-MGE	8.8	0.5	CM013	MIN_16_2025-4-1	S275	27F	1492R
KUB-53-MGE-S276	16S_Rap	23	barcode23	DNA1-KUB-53-MGE	KUB-53-MGE	5.4	0.7	CM013	MIN_16_2025-4-1	S276	27F	1492R
CM-NTC-013	16S_Rap	24	barcode24	NTC	NTC13	0.628	6.4	CM013	MIN_16_2025-4-1	CTRL	27F	1492R
GIN-36-MGE-S277	16S_Rap	1	barcode01	DNA1-GIN-36-MGE	GIN-36-MGE	3.48	1.2	CM014	MIN_16_2025-4-2	S277	27F	1492R
GRO-48-MGE-S278	16S_Rap	2	barcode02	DNA1-GRO-48-MGE	GRO-48-MGE	7.7	0.5	CM014	MIN_16_2025-4-2	S278	27F	1492R
FRA-37-MGE-S279	16S_Rap	3	barcode03	DNA1-FRA-37-MGE	FRA-37-MGE	3.46	1.2	CM014	MIN_16_2025-4-2	S279	27F	1492R
LAM-42-MGE-S280	16S_Rap	4	barcode04	DNA1-LAM-42-MGE	LAM-42-MGE	3.83	1	CM014	MIN_16_2025-4-2	S280	27F	1492R
KUB-17-MGE-S281	16S_Rap	5	barcode05	DNA1-KUB-17-MGE	KUB-17-MGE	1.47	2.7	CM014	MIN_16_2025-4-2	S281	27F	1492R
PAD-17-MGE-S282	16S_Rap	6	barcode06	DNA1-PAD-17-MGE	PAD-17-MGE	0.87	4.6	CM014	MIN_16_2025-4-2	S282	27F	1492R
HER-20-MGE-S283	16S_Rap	7	barcode07	DNA1-HER-20-MGE	HER-20-MGE	2.4	1.7	CM014	MIN_16_2025-4-2	S283	27F	1492R
MAR-45-MGE-S284	16S_Rap	8	barcode08	DNA1-MAR-45-MGE	MAR-45-MGE	5.6	0.7	CM014	MIN_16_2025-4-2	S284	27F	1492R
JOA-45-MGE-S285	16S_Rap	9	barcode09	DNA1-JOA-45-MGE	JOA-45-MGE	3.84	1	CM014	MIN_16_2025-4-2	S285	27F	1492R
CHA-48-MGE-S286	16S_Rap	10	barcode10	DNA1-CHA-48-MGE	CHA-48-MGE	1.61	2.5	CM014	MIN_16_2025-4-2	S286	27F	1492R
IRI-14-MGE-S287	16S_Rap	11	barcode11	DNA1-IRI-14-MGE	IRI-14-MGE	7.5	0.5	CM014	MIN_16_2025-4-2	S287	27F	1492R
JOA-50-MGE-S288	16S_Rap	12	barcode12	DNA1-JOA-50-MGE	JOA-50-MGE	5.6	0.7	CM014	MIN_16_2025-4-2	S288	27F	1492R
KUB-52-MGE-S289	16S_Rap	13	barcode13	DNA1-KUB-52-MGE	KUB-52-MGE	4.44	0.9	CM014	MIN_16_2025-4-2	S289	27F	1492R
PAD-7-MGE-S290	16S_Rap	14	barcode14	DNA1-PAD-7-MGE	PAD-7-MGE	2.23	1.8	CM014	MIN_16_2025-4-2	S290	27F	1492R
GRO-42-MGE-S291	16S_Rap	15	barcode15	DNA1-GRO-42-MGE	GRO-42-MGE	4.95	0.8	CM014	MIN_16_2025-4-2	S291	27F	1492R
JOA-46-MGE-S292	16S_Rap	16	barcode16	DNA1-JOA-46-MGE	JOA-46-MGE	5.4	0.7	CM014	MIN_16_2025-4-2	S292	27F	1492R
HER-48-MGE-S293	16S_Rap	17	barcode17	DNA1-HER-48-MGE	HER-48-MGE	3.02	1.3	CM014	MIN_16_2025-4-2	S293	27F	1492R
IVY-49-MGE-S294	16S_Rap	18	barcode18	DNA1-IVY-49-MGE	IVY-49-MGE	2.63	1.5	CM014	MIN_16_2025-4-2	S294	27F	1492R
KOR-50-MGE-S295	16S_Rap	19	barcode19	DNA1-KOR-50-MGE	KOR-50-MGE	2.41	1.7	CM014	MIN_16_2025-4-2	S295	27F	1492R
FRA-50-MGE-S296	16S_Rap	20	barcode20	DNA1-FRA-50-MGE	FRA-50-MGE	3.11	1.3	CM014	MIN_16_2025-4-2	S296	27F	1492R
MAR-52-MGE-S297	16S_Rap	21	barcode21	DNA1-MAR-52-MGE	MAR-52-MGE	2.8	1.4	CM014	MIN_16_2025-4-2	S297	27F	1492R
HAM-48-MGE-S298	16S_Rap	22	barcode22	DNA1-HAM-48-MGE	HAM-48-MGE	2.73	1.5	CM014	MIN_16_2025-4-2	S298	27F	1492R
GRO-52-MGE-S299	16S_Rap	23	barcode23	DNA1-GRO-52-MGE	GRO-52-MGE	8.8	0.5	CM014	MIN_16_2025-4-2	S299	27F	1492R
CM-NTC-014	16S_Rap	24	barcode24	NTC	NTC14	0.611	6.6	CM014	MIN_16_2025-4-2	CTRL	27F	1492R
